6,1,5,4,0.0815
6,4,5,5,0.1678
6,3,6,2,0.0178
6,2,7,6,0.1606
6,6,7,2,0.0319
6,6,8,2,0.0226
6,8,9,2,0.0139
6,7,10,2,0.0314
6,8,10,2,0.0221
6,4,12,20,0.3287
6,11,12,2,0.0404
6,5,13,5,0.1521
6,4,14,7,0.2071
6,12,14,16,1.2304
6,13,14,11,0.5606
6,13,16,114,12.5026
6,15,17,4,0.1502
6,10,19,8,0.2615
6,17,19,12,0.4690
6,16,20,5,0.0710
6,16,21,54,3.3616
6,18,21,4,0.0867
6,11,22,27,2.1558
6,11,23,10,0.3111
6,12,23,10,0.3018
6,22,23,22,1.7358
6,21,24,2,0.0662
6,23,25,10,0.0989
6,26,27,3,0.0673
6,27,28,3,0.0335
6,27,29,2,0.0361
6,29,30,3,0.0361
6,29,32,8,0.2568
6,31,32,4,0.1757
6,31,33,2,0.0318
6,31,34,86,3.1942
6,22,35,37,4.6302
6,34,36,5,0.1810
6,35,37,9,0.1712
6,35,40,14,0.7443
6,38,41,3,0.0643
6,41,42,4,0.0881
6,39,43,4,0.1291
6,41,43,2,0.1006
6,40,44,8,0.3065
6,17,45,55,5.3021
6,40,46,11,0.3252
6,32,47,25,1.1307
6,19,48,57,3.8187
6,34,48,43,2.4491
6,46,49,8,0.4125
6,45,50,9,0.5635
6,49,50,6,0.5813
6,46,51,10,0.2342
6,49,51,7,0.2319
6,45,52,22,1.9832
6,50,52,16,1.1685
6,43,54,52,4.2960
6,53,54,4,0.1513
6,52,56,9,0.1854
6,51,57,23,1.8132
6,56,57,11,0.6977
6,56,58,10,0.5149
6,57,61,11,1.2050
6,58,61,8,0.3686
6,59,62,3,0.0287
6,60,62,2,0.0193
6,62,63,4,0.0927
6,48,64,47,4.8735
6,63,64,9,0.3805
6,58,65,14,0.6834
6,65,66,5,0.2867
6,61,67,16,0.6882
6,65,67,8,0.1777
6,66,68,4,0.1618
6,64,69,11,0.2630
6,68,69,4,0.0309
6,68,70,9,0.1504
6,69,70,3,0.0354
6,63,71,19,0.3423
6,66,72,9,0.6617
6,67,72,14,0.6349
6,54,73,85,8.3489
6,55,73,55,5.7715
6,73,75,27,2.8361
6,72,76,40,0.7843
6,74,76,5,0.1234
6,75,77,4,0.1199
6,75,78,13,0.4349
6,79,80,2,0.3237
6,80,81,7,0.5340
6,81,82,2,0.1398
6,77,83,66,0.7982
6,80,83,39,3.3799
6,81,84,17,1.0162
6,84,86,6,0.2267
6,70,87,111,1.8355
6,85,87,4,0.1937
6,87,88,3,0.2778
6,84,89,9,0.1243
6,86,89,5,0.0868
6,88,90,3,0.1025
6,86,91,14,0.7695
6,89,91,22,0.3986
6,83,92,16,0.5366
6,91,92,10,0.7153
6,76,94,42,0.2187
6,93,94,9,0.4284
6,88,96,15,0.2258
6,95,96,7,0.1531
6,94,97,8,0.1286
6,97,98,3,0.1016
6,77,99,61,0.2814
6,99,100,2,0.0119
6,99,101,3,0.0327
6,100,101,3,0.0353
6,102,103,2,0.0431
6,97,104,24,0.1151
6,104,105,3,0.0584
6,92,106,31,0.6655
6,103,107,3,0.0449
6,104,108,3,0.0799
6,105,108,2,0.0433
6,105,109,6,0.0543
6,103,110,8,0.3238
6,106,110,3,0.2239
6,96,112,25,0.4121
6,109,112,33,0.7291
6,108,113,5,0.1603
6,109,113,6,0.1024
6,111,114,4,0.2036
6,112,114,4,0.4544
6,113,115,3,0.1108
6,114,116,4,0.1986
6,100,117,17,0.2840
6,106,119,17,0.4058
6,119,120,10,0.2742
6,118,121,4,0.1914
6,117,122,15,0.3363
6,120,122,8,0.1054
6,119,123,4,0.2211
6,121,123,7,0.5147
6,110,124,15,0.4597
6,121,126,5,0.2991
6,115,127,14,0.1544
6,125,127,4,0.0321
6,120,128,10,0.2121
6,123,128,7,0.2794
6,101,130,27,0.6234
6,117,131,13,0.7683
6,131,132,6,0.1105
6,130,133,4,0.0474
6,128,134,5,0.1952
6,129,134,12,0.4607
6,115,135,20,1.3727
6,131,136,10,0.3472
6,127,137,13,0.2770
6,135,138,6,0.1525
6,137,138,9,0.1167
6,136,139,4,0.0651
